property;;;;;
;loinc_num;long_common_name;component;system;property
MCnc;;;;;
;1975-2;Bilirubin.total [Mass/volume] in Serum or Plasma;Bilirubin;Ser/Plas;MCnc
;74774-1;Glucose [Mass/volume] in Serum, Plasma or Blood;Glucose;Ser/Plas/Bld;MCnc
;14423-8;Bilirubin.total [Mass/volume] in Synovial fluid;Bilirubin;Synv fld;MCnc
;3082-5;Tyrosine aminotransferase [Mass/volume] in Plasma;Tyrosine aminotransferase;Plas;MCnc
;4671-4;Protein C [Mass/volume] in Plasma;Protein C;Plas;MCnc
SCnc;;;;;
;15076-3;Glucose [Moles/volume] in Urine;Glucose;Urine;SCnc
;14747-0;Glucose [Moles/volume] in Pleural fluid;Glucose;Plr fld;SCnc
;14749-6;Glucose [Moles/volume] in Serum or Plasma;Glucose;Ser/Plas;SCnc
;14764-5;Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO;Glucose^3H post 100 g glucose PO;Ser/Plas;SCnc
CCnc;;;;;
;1920-8;Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma;Aspartate aminotransferase;Ser/Plas;CCnc
;1742-6;Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma;Alanine aminotransferase;Ser/Plas;CCnc
MFr;;;;;
;54439-5;Calcium bilirubinate/Total in Stone;Calcium bilirubinate/Total;Calculus;MFr
NCnc;;;;;
;26464-8;Leukocytes [#/volume] in Blood;Leukocytes;Bld;NCnc
;26474-7;Lymphocytes [#/volume] in Blood;Lymphocytes;Bld;NCnc
;20442-0;Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification;Hepatitis B virus DNA;Ser;NCnc
;26484-6;Monocytes [#/volume] in Blood;Monocytes;Bld;NCnc
PrThr;;;;;
;33870-7;Bilirubin.total [Presence] in Unspecified specimen;Bilirubin;XXX;PrThr
NFr;;;;;
;26478-8;Lymphocytes/100 leukocytes in Blood;Lymphocytes/100 leukocytes;Bld;NFr
MSCnc;;;;;
;35192-4;Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma;Bilirubin.non-glucuronidated;Ser/Plas;MSCnc
;35184-1;Fasting glucose [Mass or Moles/volume] in Serum or Plasma;Glucose^post CFst;Ser/Plas;MSCnc